Participant,Scenario,Model,Log-Likelihood,AIC,BIC,Beta
13,indifference,ARUM,-8.891600103218217,21.783200206436433,22.388370392424527,"[393.1542, -54.1962]"
13,indifference,APUM,-7.9954470483210525,19.990894096642105,20.596064282630195,"[356.133, -49.0222]"
13,indecisiveness,Luce,-3.685998278083872e-06,100.00000737199656,115.12926202169885,"[-3.0285, 0.42, 1.4921, 0.3092, -1.0821, -0.1733, -3.2797, 0.8853, -1.7854, 0.0391, -2.728, -3.0011, 0.2126, -1.3678, -0.8485, -2.7074, 0.9345, -0.3074, 0.2816, 0.9577, 0.8239, 0.0014, 2.3111, -0.6853, -1.255, 1.049, 0.0381, 0.7633, -0.7174, 1.3038, 0.1253, -1.2869, -0.477, -0.7371, -0.2774, 1.7594, -0.0116, -1.4441, -1.4261, 2.3189, 0.7861, -0.4083, -0.4241, -1.1082, 1.1718, -1.8528, -2.2242, 1.5511, 1.4944, -0.0417]"
13,indecisiveness,RUM,-184.20680743952371,468.41361487904743,483.54286952874975,"[-0.7, -1.0674, -0.371, -0.2164, 0.1418, -0.5039, -1.0076, -0.9729, 1.213, -1.2518, 0.3632, 0.5195, -0.1213, 1.7678, 0.5017, 1.8429, -0.6511, -0.6339, 0.5275, -0.2615, 1.6857, 0.3417, -1.0446, -1.7368, -0.0782, -0.0891, 0.3138, 1.2107, 1.0791, -0.5789, -1.2938, -1.2341, -0.7368, -0.3667, 0.3051, -0.801, 0.2804, 0.362, 0.1433, -1.1286, 0.4678, 2.0813, 0.2459, -2.9531, 1.2409, -0.7027, 2.2657, 0.1164, -1.6847, -2.0647]"
13,indecisiveness,ARUM,-2.0279024827036616e-06,100.00000405580496,115.12925870550725,"[-3.0666, 3.1568, 4.7815, 0.4368, -0.6483, -0.3827, -6.1033, 1.9009, -2.9694, 1.1269, -4.4079, -2.6223, 1.1359, -3.2394, 0.5526, -1.1793, 0.7331, 0.7092, 0.2825, 2.4983, -0.1384, -0.2868, 0.6851, -0.0558, -0.2019, 0.0936, -1.2522, 2.1283, -1.1648, 1.3458, 1.1067, -1.4311, -0.3694, -1.2346, -0.9999, 2.0005, 2.3166, -1.4596, -0.6487, 2.056, 3.1969, -0.0983, -0.4699, -0.1725, 1.2008, -0.1273, -0.4204, 2.3509, 1.4786, 1.229]"
13,indecisiveness,APUM,2.3153150399879376e-05,99.9999536936992,115.12920834340149,"[-1.9378, 0.0217, 0.9025, 0.6862, -0.388, -0.1322, -4.6491, 1.3206, -0.2466, 1.0992, -1.5349, -1.8197, 1.4398, -1.2787, -1.6457, -0.1249, 1.9282, 1.0391, 0.0864, 0.4593, -0.7568, -3.1878, 1.3561, -0.9881, -1.3454, 1.2971, 0.259, 0.0472, -1.5295, 1.3917, 1.3368, 0.6613, -0.7068, 0.2442, -1.4909, 0.4207, 0.6343, -0.7317, -1.1628, 1.6091, 1.1909, -0.2167, -0.3483, -1.9931, -0.1179, -2.0055, 0.2727, 1.0527, -0.9907, 1.5531]"
13,experimentation,Luce,-10.802468495176505,25.60493699035301,26.210107176341104,"[0.1301, 1.5314]"
13,experimentation,RUM,-110.52408442371421,225.04816884742843,225.65333903341653,"[1.1732, -0.7634]"
13,experimentation,ARUM,-10.80246849517648,25.60493699035296,26.210107176341054,"[0.1301, 1.5314]"
13,experimentation,APUM,-9.720685411155094,23.441370822310187,24.046541008298277,"[0.1182, 1.3885]"
14,indifference,Luce,-9.068569425694582,22.137138851389164,22.742309037377254,"[160.0112, -63.499]"
14,indifference,RUM,-9.068569143991786,22.13713828798357,22.74230847397166,"[1.6, -0.635]"
14,indifference,ARUM,-9.06856941408863,22.13713882817726,22.74230901416535,"[160.0004, -63.5042]"
14,indifference,APUM,-8.154184146954204,20.30836829390841,20.913538479896502,"[143.6231, -57.2752]"
14,indecisiveness,Luce,-1.6446655513704378e-06,100.0000032893311,115.1292579390334,"[-2.8667, 2.3434, -2.1448, 0.0794, -0.7729, 1.2022, -0.8562, -1.0765, 1.3595, 3.533, -5.0971, -1.6264, 1.0409, -3.2419, -0.0266, 2.824, -1.1216, 0.1177, 0.6589, 1.269, 0.2939, -0.5221, 2.2473, 0.0527, -0.7136, -0.733, 1.8988, -1.2543, 2.0058, 2.9421, 1.4669, -3.239, -0.3538, -0.4079, 0.1134, -1.4007, 1.4257, 3.021, -4.7077, -0.5305, -1.4451, -1.8381, 2.1672, -0.4372, 0.0158, 2.9791, -0.7669, -0.9352, -2.2749, -1.9693]"
14,indecisiveness,RUM,-110.52408442371421,321.0481688474284,336.1774234971307,"[-0.6495, 0.4106, -0.5199, -0.4921, 0.1818, -1.7093, -0.8386, -0.5036, -0.2024, 0.077, 1.5006, 0.9083, -0.7693, -0.2613, -0.3294, -0.5142, 0.2725, -1.8598, 0.8807, 1.6936, -0.2698, -0.2894, 0.157, 1.0194, -0.3243, 0.9339, 0.4885, 2.3616, -0.3287, -1.976, -1.4329, 0.0119, 1.0279, -0.6525, -0.2309, 0.6848, -0.9652, -0.6113, -1.1677, 1.1782, 1.5417, -1.5794, -0.1422, 1.4073, 0.3987, -0.4892, -1.5462, 1.1529, 0.3605, -1.473]"
14,indecisiveness,ARUM,-2.1687208167398445e-06,100.00000433744164,115.12925898714393,"[-0.7481, 1.5454, -1.4283, 1.9069, -1.3992, -0.261, -1.324, -1.575, -0.3459, 0.4955, -2.5895, -4.4508, 0.7732, -1.5519, -0.1526, 1.1934, -1.264, -1.0713, -1.0791, 1.6516, -0.566, -0.2428, 0.9812, -0.0851, -0.7215, 0.9748, 2.5689, -1.7001, 0.277, 2.5008, 0.0224, 0.4461, -1.318, -0.1382, -0.8296, -1.3933, 1.0547, 2.7519, -0.5154, -0.3224, -2.6491, -0.3033, 2.5666, -1.7334, -2.0649, -1.0087, 1.5857, -0.1955, -1.8639, 0.2532]"
14,indecisiveness,APUM,4.955999085582937e-05,99.99990088001829,115.12915552972058,"[-2.0721, 2.8112, 0.0227, 1.0129, -1.9344, -0.7285, 0.0494, -0.7196, -0.7486, 2.094, -2.7761, -1.6711, 0.2701, -0.7612, -0.5857, 0.4319, 0.1682, -1.5823, -0.6081, 0.1651, -0.9601, 1.1654, 2.3847, 0.6338, -0.4151, 0.2002, 0.7724, -0.6618, 0.5827, 1.6653, 1.2727, 0.7926, -0.1226, 0.085, 0.576, -0.9026, 0.5573, 1.4458, -1.5943, -2.2897, -0.5506, 0.4271, 2.6868, 1.3408, -0.862, 0.5871, 1.7654, 0.3443, 0.2198, 1.4104]"
14,experimentation,Luce,-8.080200394529607,20.160400789059214,20.765570975047304,"[0.7246, 2.5683]"
14,experimentation,RUM,-130.3888786494311,264.7777572988622,265.38292748485026,"[-1.7541, -0.7934]"
14,experimentation,ARUM,-8.080200394530802,20.160400789061605,20.765570975049698,"[0.7246, 2.5684]"
14,experimentation,APUM,-7.248810095106338,18.497620190212675,19.102790376200765,"[0.657, 2.3094]"
15,indifference,Luce,-9.31266502173114,22.62533004346228,23.23050022945037,"[133.3238, -54.5203]"
15,indifference,RUM,-9.312664730824308,22.625329461648615,23.230499647636705,"[1.3335, -0.5453]"
15,indifference,ARUM,-9.312665042433071,22.625330084866142,23.230500270854236,"[133.3783, -54.5316]"
15,indifference,APUM,-8.373746971129249,20.747493942258497,21.352664128246587,"[119.8448, -49.1949]"
15,indecisiveness,Luce,-2.0984229867987303e-06,100.00000419684598,115.12925884654827,"[-4.3727, -1.6197, 4.3195, 1.2277, -0.5469, 1.523, 1.6912, -0.9944, -0.7444, -0.3345, -0.4227, 3.4892, -2.5358, -0.8329, -1.0189, -1.4106, 1.7367, 0.7273, -1.5854, 1.0933, -0.6996, -1.5821, 1.4971, -1.0549, -1.3612, 1.8558, -0.3684, -0.0741, -1.3495, 0.8038, -1.1028, -0.0153, -1.7082, 0.865, 1.2237, 3.0053, 0.9863, -1.5442, -0.9651, -1.4647, -0.6772, -2.0256, 1.4109, -0.2718, 0.4664, -1.3691, -0.6888, 1.6882, 1.1567, 0.2209]"
15,indecisiveness,RUM,-184.20680743952371,468.41361487904743,483.54286952874975,"[0.916, 0.7494, 0.6097, 1.6591, -1.5889, 1.4801, -0.413, 0.7851, -1.0297, -0.9085, 0.6621, -1.9287, 0.9894, 1.26, 0.1778, 0.1418, -0.8336, 0.6744, 0.3477, -0.9215, -0.3915, -0.1593, -0.3928, -1.3629, 0.699, -0.2435, 0.0154, -0.5783, 0.4753, 0.1987, 1.2128, 0.4806, -0.2027, -0.7397, 0.866, -0.2826, -0.1717, -0.172, -0.4016, -0.1545, 1.9262, -1.0478, -0.8145, 1.3843, -0.3748, -0.4506, 1.0349, -1.4202, 0.8215, 0.0456]"
15,indecisiveness,ARUM,-3.012761368774803e-06,100.00000602552274,115.12926067522503,"[-1.4104, -0.227, 1.9203, 1.0502, -0.5488, 0.4088, 1.6716, 1.7388, -0.7673, 0.4761, -0.3775, 3.0454, 0.3904, 0.1061, 0.3346, -1.4156, 2.2375, 1.5608, -1.3351, 0.7952, -1.1459, -0.2226, 0.1453, -1.0662, -1.0664, 1.4086, -0.2371, 0.9705, -0.8792, 0.6655, 0.6046, -1.9524, -2.508, 2.7375, 2.799, 1.1452, 3.2753, 0.5075, -0.183, -0.8451, 0.12, -4.0415, 4.216, 1.0646, -2.3693, -0.2728, 0.4758, 1.4943, 1.4569, 0.6165]"
15,indecisiveness,APUM,3.499122287627523e-05,99.99993001755425,115.12918466725654,"[-0.382, -1.7177, 2.8896, -1.1904, -0.4871, 0.8978, 0.061, 0.0478, 0.5537, -0.3735, 0.7544, 3.4608, -2.2788, -0.0668, -0.4973, -0.6465, -0.1006, 1.2942, -0.988, -0.4163, -0.6678, -0.9756, 0.2358, -2.4089, 0.7987, 0.1356, -2.2739, 2.4126, 1.2414, -0.3493, -0.8428, -1.0174, -1.2182, 1.9629, 0.5812, 1.7063, 0.1351, 0.0632, -0.7879, 2.2111, 0.2585, -1.2916, 5.4404, -0.4994, 0.8915, 0.4453, -0.082, 1.0237, 1.155, -0.9385]"
15,experimentation,Luce,-9.99138036489382,23.98276072978764,24.58793091577573,"[0.2191, -5.702]"
15,experimentation,RUM,-77.24455862780829,158.48911725561658,159.09428744160468,"[-0.9606, -0.0501]"
15,experimentation,ARUM,-9.991380364890418,23.982760729780836,24.58793091576893,"[0.2191, -5.702]"
15,experimentation,APUM,-8.986477845033145,21.97295569006629,22.57812587605438,"[0.199, -5.1376]"
16,indifference,Luce,-9.449052085553726,22.898104171107452,23.503274357095542,"[296.6951, -8.3599]"
16,indifference,RUM,-9.449051698304174,22.89810339660835,23.503273582596442,"[2.9682, -0.0836]"
16,indifference,ARUM,-9.449051989489192,22.898103978978384,23.503274164966477,"[296.7661, -8.357]"
16,indifference,APUM,-8.500555380977403,21.001110761954806,21.6062809479429,"[269.0412, -7.5596]"
16,indecisiveness,Luce,-1.346677853830292e-06,100.00000269335571,115.129257343058,"[5.7034, 0.5668, -4.4295, 0.7873, -0.591, 0.0348, -0.5528, 0.4037, -1.0885, 1.0057, -1.6995, 5.2859, -3.121, 4.0569, 4.8354, -4.0908, 0.2493, -1.7227, -2.8626, 0.5007, 1.4632, -2.2876, -1.0325, 2.6914, -3.9285, -1.3369, 3.7865, -0.1393, 4.0132, 2.6941, 3.1249, -1.7591, -0.624, -0.9826, 0.9021, -1.3221, -1.5484, 2.7303, -1.4648, 1.8787, 4.7852, -1.7303, -1.6969, -1.1026, -1.4821, -1.9167, -2.17, 1.8303, 1.9157, 2.7761]"
16,indecisiveness,RUM,-128.9447651776666,357.8895303553332,373.0187850050355,"[-0.3386, 1.5799, 1.642, 0.7536, -0.2351, -1.3615, 0.4779, 1.0188, 1.7477, -0.95, -0.2435, -0.9439, -0.6335, 0.6644, -0.6793, -0.8243, 0.797, 0.4507, 0.35, -0.6529, 1.293, 0.0145, 2.3802, 0.1612, -2.3333, -2.3779, 0.6239, 1.3005, -0.7838, 2.101, 1.663, 0.2105, 0.5395, 0.8945, 1.89, 0.6821, 0.1879, 0.6723, 0.5374, 0.9244, -1.57, 0.3159, 0.4604, -0.0728, 0.7842, 1.9212, 0.1382, 0.6917, 1.6063, 0.1616]"
16,indecisiveness,ARUM,-4.625209364134861e-06,100.00000925041873,115.12926390012102,"[0.6035, -0.2971, -2.7805, -2.3723, 0.4359, -2.345, -1.3152, 0.4589, -1.8874, 0.4937, 0.2216, 1.3489, -1.6383, 2.4161, -0.3672, -0.8281, -1.5519, 0.2405, -0.3745, 0.4223, 1.4366, -0.643, -1.4389, 0.4008, -1.8628, 1.5868, 2.8025, 0.768, 2.0393, 2.3259, 1.8457, -2.0289, -4.3889, 0.7544, 0.3258, -1.2116, 0.6355, 2.803, -0.1517, 1.9115, 0.7506, -0.1624, -0.146, -0.8632, -0.0057, -1.3976, -0.4349, 1.197, 0.8404, 0.7676]"
