Participant,Scenario,Model,Log-Likelihood,AIC,BIC,Beta
3,indecisiveness,RUM,-92.10340366976186,284.2068073395237,299.336061989226,"[-1.2091, 0.968, -0.1757, 0.8275, 0.0319, 0.0087, 0.1639, 1.48, 0.1865, 1.1092, 1.0452, -0.1633, -0.0739, -0.3778, 1.2832, -0.9411, -0.723, -0.2762, -1.1482, -0.5913, 1.1361, 0.6514, -0.4207, 0.8028, 2.0819, 0.3131, 1.4204, 0.8516, -0.2944, 0.1973, 0.5263, -0.745, -2.6092, -0.8341, -2.1581, -0.7515, -1.7074, 0.8801, -1.1826, 0.5441, 0.7666, 0.7015, -1.8683, 1.1226, 0.4203, 0.8043, 1.8299, 0.7943, -1.1827, 0.6533]"
3,indecisiveness,ARUM,-3.894773126804058e-06,100.00000778954626,115.12926243924855,"[1.0382, -0.2832, -2.8249, 1.1096, -3.0373, -1.3944, -0.5308, 1.1557, -2.341, 0.1154, 2.2789, -1.0802, 0.6802, 5.3778, 6.7655, -0.3171, -4.4209, -3.5321, 2.2234, -0.3319, 0.1278, -0.0037, -1.0999, -0.4534, -1.1742, 0.0907, -0.5379, 1.9088, -0.7027, -1.038, -0.9138, 1.3625, -0.7458, -2.2586, -0.5597, -1.2186, -1.1224, 4.5992, -5.2986, 1.3774, 1.9576, 0.0633, 0.509, -0.588, -0.5651, -0.0929, -1.865, 0.4249, 1.3004, 1.7761]"
3,indecisiveness,APUM,4.981312711312874e-05,99.99990037374577,115.12915502344806,"[0.0987, 0.1963, -2.4923, 1.6813, -0.7196, 0.9259, 0.1287, -0.3787, -2.334, -1.2815, 1.2472, 0.1618, -0.2438, 0.0399, 1.6885, -0.186, 0.3161, -2.1456, 1.4403, -0.121, -0.0907, -0.5857, -0.9379, -0.8196, -2.2476, -0.6105, -1.5559, 0.1466, -1.1077, 0.7325, -1.6618, 1.1913, 0.8332, -1.0654, -0.0934, -0.8505, 0.5825, 2.6232, 0.3538, 0.7648, 1.5672, 0.5511, 0.0429, 0.3964, 0.0376, -1.5564, -1.7021, 1.0354, 1.4805, -0.5451]"
3,experimentation,Luce,-3.916628634657514e-06,4.0000078332572695,4.605178019245361,"[7.2802, 0.1417]"
3,experimentation,RUM,9.999999889225291e-08,3.999999800000002,4.605169985988094,"[0.902, 0.2275]"
3,experimentation,ARUM,-2.5002778826562723e-06,4.000005000555765,4.605175186543857,"[7.4961, -0.3344]"
3,experimentation,APUM,8.993638592572524e-05,3.9998201272281486,4.60499031321624,"[4.7077, 1.1298]"
4,indifference,Luce,-10.202289649647485,24.40457929929497,25.00974948528306,"[50.819, -49.0553]"
4,indifference,RUM,-10.202289358851363,24.404578717702726,25.00974890369082,"[0.5082, -0.4906]"
4,indifference,ARUM,-10.202289656695909,24.404579313391817,25.009749499379907,"[50.8279, -49.0621]"
4,indifference,APUM,-9.177319324194624,22.354638648389248,22.95980883437734,"[45.931, -44.3139]"
4,indecisiveness,Luce,-3.6496321814895773e-06,100.00000729926437,115.12926194896666,"[0.8132, 2.5298, -2.7738, 3.3974, -4.2024, 1.3019, -0.6333, 3.142, -2.0345, 0.2359, -2.9366, -2.0539, 1.8432, 0.3439, -0.6622, -1.2695, 0.4197, 1.7081, -2.4401, -1.4379, 0.2715, 0.3092, -0.2433, 1.105, -0.9342, 0.7982, -0.6539, 1.7789, -1.2543, -1.6678, -0.288, 0.9887, 0.1966, -2.4357, 0.3474, 0.1057, -0.9721, 1.5407, -2.3299, 2.4822, 0.0348, -0.246, -1.6953, -1.137, 0.1093, -0.1137, 0.4102, 2.0531, 2.6136, 0.1579]"
4,indecisiveness,RUM,-184.20680743952371,468.41361487904743,483.54286952874975,"[-0.6216, 1.1841, 1.3635, 0.9308, 0.6126, 1.392, 0.342, -0.0205, 0.7255, 0.4776, 0.8853, -0.1319, 0.9093, 0.8576, 0.2133, -0.7503, 1.2406, -1.2097, -0.9577, 0.168, -2.5079, 1.543, 0.0147, 1.5395, 1.804, -0.1548, 1.3488, -1.0601, 0.4333, -0.4734, 0.6965, 0.8826, -0.1599, 0.5448, 0.9447, 0.1878, 2.539, -0.1371, 1.6559, 1.1454, -1.8599, 1.493, 1.0739, 0.1141, 0.3689, 0.4928, 1.3753, -0.4131, 1.586, -1.0841]"
